Èas (s);CO (%);CO2 (%);H2 (%);CH4 (%);O2 (%);Teplota (°C)
248;1.141055;14.411701;0.995097;1.882352;5.097139;682.8
249;1.123201;14.391597;0.944319;1.839855;5.111997;681.59
250;1.111178;14.390179;0.92204;1.817042;5.113687;680.57
251;1.098475;14.373285;0.908591;1.805483;5.151089;678.75
252;1.087469;14.273953;1.002625;1.807581;5.311627;673.6
253;1.069552;13.896265;1.122019;1.831564;5.84214;668.67
254;1.026234;13.32152;1.142508;1.799544;6.514999;664.82
255;0.972165;12.698149;1.084598;1.715936;7.17395;662.07
256;0.916653;12.085269;0.982783;1.577686;7.763462;660.4
257;0.859761;11.587693;0.74229;1.400677;8.167103;658.06
258;0.812978;11.328767;0.520454;1.191255;8.267122;654.72
259;0.788735;11.1697;0.405983;1.065505;8.342481;651.18
260;0.782269;11.047772;0.345058;0.980434;8.418018;647.63
261;0.784856;10.96546;0.307448;0.919791;8.463868;645.73
262;0.808623;11.015504;0.264208;0.890404;8.35144;647.33
263;0.846059;11.222415;0.18483;0.88285;8.054669;649.55
264;0.890229;11.535919;0.133614;0.890365;7.680352;650.65
265;0.913518;11.782758;0.108329;0.918481;7.438057;651.21
266;0.92879;12.080755;0.091908;0.958664;7.227181;666.59
267;1.662455;15.710801;0.895615;1.704339;6.619633;674.44
268;2.193933;17.395729;1.512719;2.513353;5.785109;677.05
269;2.421329;18.335611;2.183638;3.209053;5.266679;677.47
270;2.550277;19.054499;2.555666;3.696183;4.831438;678.47
271;2.613756;19.657817;2.701665;4.018321;4.348767;680.91
272;1.955568;16.873241;1.981905;3.552885;4.276763;684.55
273;1.397139;15.977478;1.404409;2.908469;4.564113;704.68
274;2.123669;19.700467;2.115414;2.891187;4.310193;714.02
275;3.491545;22.708738;3.054787;3.854919;3.532752;724.52
276;4.662473;25.907268;4.569275;4.47;2.770809;717.3
277;6.269972;29.019176;7.385906;6.451657;2.093296;724.35
278;7.847327;32.028389;9.939074;8.568171;1.54655;737.78
279;8.248242;30.924328;10.557084;9.70446;1.211109;750.42
280;7.851142;30.243188;10.789988;9.352414;1.070849;761.65
281;7.692604;29.18392;10.935125;9.004258;0.948094;773.04
282;7.266333;28.331849;10.037914;8.083546;1.029832;783.66
283;6.859041;27.429792;9.323537;6.716903;1.056525;777.7
284;6.92;26.831796;9.044143;5.705639;1.098013;782.74
285;6.675579;26.772812;9.032729;5.272705;1.237458;785.25
286;6.707319;26.825196;8.83015;5.003454;1.318619;789.88
287;6.631244;26.671572;8.483386;4.620723;1.266893;788.45
288;6.565953;26.396388;8.326947;4.302883;1.166914;787.79
289;6.572051;26.207198;8.398005;4.136238;1.145319;790.63
290;6.605227;26.157846;8.558096;4.078964;1.205354;794.45
291;6.639357;26.334531;8.537735;4.096729;1.330371;794.69
292;6.575624;26.438981;8.388864;4.023471;1.359289;793.75
293;6.536967;26.514534;8.260258;3.961276;1.358472;792.95
294;6.502284;26.516066;8.219958;3.891465;1.313158;793.55
295;6.52261;26.572901;8.268198;3.888616;1.304936;795.52
296;6.547458;26.664292;8.294963;3.912853;1.305643;795.56
297;6.537965;26.762537;8.194033;3.934763;1.248193;794.94
298;6.503314;26.80424;8.197985;3.934674;1.160863;794.38
299;6.521186;26.901105;8.288046;4.020241;1.139139;794.52
300;6.528174;27.036729;8.334531;4.132766;1.134805;794.73
301;6.51095;27.177376;8.332008;4.240396;1.132383;794.14
302;6.492161;27.320884;8.332857;4.321385;1.121475;793.09
303;6.492708;27.454423;8.352817;4.399818;1.101845;793.24
304;6.514828;27.61656;8.418371;4.500314;1.1042;793.2
305;6.522051;27.69196;8.617236;4.592824;1.089422;792.21
306;6.463092;27.204951;9.031289;4.821447;1.106555;791.21
307;6.278244;26.603217;9.154631;5.070252;1.274451;788
308;5.866413;25.875433;8.797154;5.138079;1.452632;781.56
309;5.266967;24.972174;8.027644;5.000542;1.50721;772.95
310;4.635413;23.937696;7.394304;4.794667;1.536857;764.12
311;4.287214;23.524186;7.228196;4.722071;1.615897;756.79
312;4.227594;23.36856;7.414721;4.784151;1.677025;749.19
313;4.25742;23.405316;7.560982;4.887457;1.780476;737.6
314;4.248652;23.385523;7.442793;4.88218;1.804518;723.36
315;4.204832;23.280723;7.030037;4.749232;1.74492;708.77
316;4.00398;23.022146;6.231819;4.322237;1.627153;696.68
317;3.81107;22.840471;5.697889;3.933632;1.655644;687.36
318;3.737895;22.770837;5.437101;3.701257;1.777122;679.54
319;3.837914;22.821308;5.689893;3.662231;1.967099;670.97
320;4.013791;22.911739;5.874246;3.67819;2.048893;661.6
321;4.218343;23.047763;6.048992;3.729766;1.967649;653.27
322;4.381078;23.081232;6.146133;3.720293;1.785061;646.32
323;4.597863;23.156226;6.520852;3.788324;1.607195;642
324;4.788459;23.269539;7.055815;3.857881;1.372048;641.54
325;5.194574;23.900165;8.429729;4.352552;1.532568;643.81
326;5.48908;25.024622;8.585914;4.860232;2.017415;642.21
327;5.325506;25.457842;8.16945;4.809304;1.957315;640.98
328;5.291083;25.433541;7.771434;4.728569;1.730794;640.52
329;5.313896;25.325536;7.118847;4.628149;1.541284;642.11
330;5.183149;24.820642;6.068737;4.18976;1.082602;644.86
331;5.249832;24.013573;6.218798;3.814049;0.455706;647.56
332;5.766635;23.934721;7.03813;4.013273;0.367217;650.18
333;6.254961;24.139915;7.796745;4.21401;0.349075;652.68
334;6.694908;24.346711;8.414037;4.392621;0.351126;653.17
335;7.039134;24.492737;8.658172;4.50156;0.360523;652.16
336;7.262734;24.424273;8.837714;4.514047;0.358723;654.84
337;7.486469;24.345726;8.855313;4.502832;0.354416;657.51
338;7.559847;24.337257;8.66394;4.411186;0.350092;660.25
339;7.611723;24.386118;8.551249;4.332499;0.341029;663.03
340;7.688427;24.424489;8.533193;4.26139;0.315831;665.92
341;7.826524;24.436621;8.554205;4.206495;0.290783;668.95
342;7.44;24.569155;8.342186;4.122937;0.259443;672.15
343;7.826524;24.748338;8.146876;4.040841;0.226752;675.58
344;7.764412;24.930198;7.949582;3.946729;0.191775;679.31
345;7.686621;25.123159;7.700595;3.865549;0.173318;683.36
346;7.54565;25.335792;7.465331;3.788591;0.153941;687.66
347;7.508862;25.437229;7.508627;3.754486;0.141366;692.07
348;7.580524;25.493631;7.566679;3.740461;0.128442;696.48
349;7.66953;25.545386;7.638164;3.73971;0.119971;700.97
350;7.774954;25.588907;7.733601;3.746399;0.110732;705.78
351;7.894492;25.628295;7.833479;3.758734;0.100157;711.11
352;8.032684;25.642404;7.947492;3.779423;0.087171;717.09
353;8.172956;25.65758;8.06825;3.812841;0.077074;723.63
354;8.315689;25.677907;8.197568;3.852986;0.066831;730.51
355;8.458764;25.710956;8.35834;3.909547;0.0571;737.58
356;8.614219;25.742111;8.531529;3.977451;0.045593;744.88
357;8.748413;25.783712;8.689652;4.042405;0.035594;752.47
358;8.892461;25.812196;8.867907;4.117621;0.028502;760.26
359;9.051311;25.824798;9.035236;4.19444;0.023965;768.16
360;9.202131;25.806588;9.170836;4.275721;0.019852;775.88
361;9.324715;25.779439;9.271253;4.336441;0.019254;783.14
362;9.440285;25.723889;9.362407;4.382779;0.019052;789.76
363;9.535358;25.679039;9.42494;4.411047;0.017376;795.82
364;9.60948;25.634049;9.475891;4.432168;0.015314;801.53
365;9.673582;25.601985;9.52291;4.439861;0.013967;818.42
366;9.755124;25.579096;9.561893;4.466896;0.013332;836.84
367;9.781199;25.506691;9.390474;4.452018;0.014956;855.48
368;9.768006;25.364327;9.255765;4.389022;0.016399;873.71
369;9.770753;25.208891;9.161116;4.324411;0.017607;891.42
370;9.786215;25.043238;9.096045;4.261428;0.017902;907.84
371;9.816238;24.86511;9.069437;4.182652;0.017954;923
372;9.920892;24.757684;9.248827;4.152642;0.017239;937.73
373;10.084345;24.698033;9.36641;4.167214;0.017586;952.2
374;10.217655;24.650411;9.433119;4.181863;0.017738;967.29
375;10.374649;24.593112;9.489203;4.186518;0.018328;970.13
376;10.546933;24.520433;9.536735;4.216553;0.018542;969.67
377;10.709128;24.441039;9.601262;4.24683;0.017994;969.16
378;10.921341;24.353603;9.751496;4.305172;0.017369;967.49
379;11.186111;24.26103;9.972864;4.385716;0.015874;967.27
380;11.600784;24.200685;10.289196;4.492671;0.014456;969.77
381;12.057593;24.083856;10.637384;4.60788;0.013784;976.62
382;12.73;24.00005;11.172429;4.816285;0.014764;987.1
383;13.099598;23.956186;11.221842;5.074422;0.026617;999.47
384;11.782345;20.558845;9.230829;4.486606;2.865332;1013.19
385;9.254979;15.793583;7.253382;3.609154;6.889426;1029.89
386;6.62872;11.086836;5.251769;2.694189;10.950691;1049.65
387;3.93036;6.34604;3.043564;1.692513;15.02215;1069.5
388;1.123157;1.588905;1.345329;0.608754;19.084466;1090.71
389;0.979674;1.954602;4.028595;0.722919;18.352261;1110.66
390;4.293177;5.958821;6.495918;1.538355;14.431839;1128.89
391;7.804163;10.125094;8.847627;2.371644;10.375043;1143.87
392;11.401541;14.295577;11.289188;3.224973;6.301643;1155.52
393;15.132458;18.417649;13.520811;4.124361;2.226356;1165.63
394;18.019983;20.692072;13.260633;4.577959;0.119679;1173.9
395;18.50354;20.585549;13.04334;4.551738;0.015061;1179.92
396;18.770363;20.41561;13.005619;4.535754;0.012241;1183.98
397;18.89713;20.343223;12.487695;4.610741;0.027265;1187.72
398;17.287495;18.283309;11.350144;4.111022;1.91407;1191.4
399;15.914857;17.2962;11.458125;4.044745;2.703457;1195.4
400;15.773784;17.220647;11.472158;4.14093;2.788845;1199.32
401;15.657661;17.091374;11.394865;4.214531;2.863937;1203.19
402;15.544353;16.808777;11.634182;4.16031;2.975383;1206.91
403;16.949214;18.5155;12.521276;4.62099;1.290689;1209.97
404;17.976685;19.195966;12.157833;4.705692;0.767071;1212.26
405;17.616748;18.985431;11.63701;4.648533;1.049505;1214.31
406;15.810725;17.311872;10.708844;4.214417;2.772233;1216.43
407;15.168846;17.234634;10.687333;4.212382;2.990745;1217.97
408;15.135059;17.76828;10.680171;4.284991;2.788923;1219.22
409;15.177715;18.372252;10.749479;4.385919;2.524212;1220.08
410;15.322062;19.066084;10.973869;4.532613;2.157987;1221.07
411;16.276454;19.945876;10.747292;4.808858;1.425838;1222.03
412;16.127872;19.678817;11.011442;4.873253;1.593578;1223.03
413;16.293544;19.541966;11.84;4.989161;1.593643;1224.12
414;16.514398;19.399005;11.52315;5.11486;1.592551;1225.41
415;16.692424;19.297079;11.934695;5.247426;1.592241;1226.41
416;17.482256;20.482084;13.224774;5.658653;0.524476;1227.06
417;18.226818;21.306974;13.221162;5.883436;0.011918;1227.26
418;18.12114;21.467699;13.368288;6.030638;0.012442;1226.77
419;18.041111;21.616256;13.547866;6.177332;0.013178;1225.24
420;18.035008;21.721272;13.787947;6.299331;0.012367;1223.2
421;18.109499;21.785202;14.119802;6.398288;0.011775;1220.36
422;18.146935;21.844193;14.377513;6.487886;0.011858;1216.79
423;18.13132;21.948891;14.54004;6.564348;0.012555;1212.8
424;18.013104;22.114385;14.697034;6.63716;0.012787;1208.84
425;17.835625;22.313469;14.804887;6.737097;0.020807;1204.63
426;17.364918;22.598247;14.433627;6.814258;0.042526;1199
427;16.019785;22.765738;12.814709;6.560304;0.04402;1193.54
428;14.447859;22.626916;11.471812;6.194359;0.043267;1188.74
429;12.961908;22.28199;10.193275;5.76;0.042984;1184.76
430;11.666857;21.827547;8.974305;5.492631;0.036607;1181.09
431;10.541796;21.304888;8.121103;5.239809;0.016301;1178.03
432;10.277892;20.843559;8.681636;5.337723;0.013537;1175.4
433;10.596336;20.62521;9.22639;5.635357;0.012763;1173.16
434;10.773205;20.519183;9.628373;5.947284;0.013427;1170.88
435;10.807761;20.474117;9.978555;6.244626;0.013532;1168.96
436;10.910768;20.425777;10.302731;6.508842;0.013551;1168.56
437;11.03009;20.366602;10.478091;6.728933;0.014338;1168.15
438;11.039671;20.333896;10.527868;6.877178;0.014598;1167.44
439;11.015835;20.346008;10.565721;6.977292;0.013899;1166.49
440;10.967056;20.395309;10.555624;7.032556;0.013378;1165.24
441;10.827655;20.469081;10.457033;7.055;0.013573;1163.67
442;10.619333;20.573119;10.397929;7.051198;0.01375;1161.92
443;10.418507;20.70955;10.364719;7.075537;0.013584;1159.95
