Tavba Ë.;Sur. Fe - Akosù;02 - Skut. mnoû. (Nm3);02 - Trv. f˙k. (s);Sur. Fe - Teplota (∞C);Sur. Fe - Hmotnosù (kg);C - Konc. v Fe (%);Si - Konc. v sur. Fe (%);Mn - Konc. v sur. Fe (%);P - Konc. v sur. Fe (%);S - Konc. v sur. Fe (%);Ti - Konc. v sur. Fe (%);ärot v·ha (kg);V˝öka k˙peæa (m);CaO - V·ha (kg);Dol. v·p. - V·ha (kg);MgCO3 - V·ha (kg);Bazicita tav.;Pomer CaO / SiO2;Fe - Mn. v troske (% hm.);MgO - Mn. v troske (% hm.);Cr - Mn. v oceli (%);Fe - V·ha v sur. Fe (kg);02 - Dofuk mn. (Nm3)
414;597;8208.092;983;1311.389;146000;4.234;0.829;0.51;0.049;0.002;0.023;42100;9.55;6405;4222;0;3.8;3.392;17.3;8.99;0.021;148200;0
415;597;8001.942;952;1299.638;145100;4.23;0.581;0.492;0.049;0.002;0.02;44100;9.56;5523;3445;0;2.9;2.602;14.61;7.78;0.03;146400;0
416;597;8075.201;996;1356.737;144300;4.526;0.697;0.572;0.054;0.003;0.022;43800;9.55;6013;3891;0;3.5;3.076;18.07;8.8;0.028;146000;0
417;597;7775.963;960;1275.729;144100;4.031;0.612;0.46;0.049;0.003;0.014;39700;9.52;5516;3505;0;3.4;3.046;16.34;9;0.021;147500;0
418;596;8117.952;1011;1362.99;145800;4.623;0.706;0.628;0.055;0.002;0.023;42100;9.55;6007;3909;1194;3.1;2.702;15.4;8.42;0.026;147200;0
419;596;7858.341;945;1297.186;147100;4.045;0.638;0.505;0.05;0.003;0.014;40300;9.55;5519;3473;0;3.2;2.803;15.88;9.45;0.023;150100;0
420;596;7675.856;949;1299.99;148000;3.954;0.616;0.544;0.052;0.003;0.013;42200;9.56;5523;3470;0;3.2;2.837;16.35;8.31;0.014;150400;439.561
421;595;8080.44;1017;1345.982;151900;4.514;0.55;0.648;0.057;0.002;0.017;38000;9.56;5520;3614;856;3.8;3.519;21.3;6.91;0.029;154400;0
422;595;8178.524;967;1342.166;151800;4.454;0.491;0.641;0.055;0.003;0.016;38100;9.56;5525;3488;942;3.5;3.121;18.21;8.32;0.026;154500;0
423;595;7790.167;953;1307.509;148800;4.143;0.68;0.541;0.054;0.003;0.015;42600;9.57;5522;3565;0;3.7;3.416;20.4;7.36;0.019;150500;0
424;592;7827.789;933;1313.269;152800;4.115;0.651;0.635;0.056;0.002;0.015;37800;9.57;5521;3625;0;3.6;3.253;19.52;7.44;0.032;154400;1044.372
425;684;8012.779;965;1351.132;155600;4.237;0.401;0.672;0.056;0.004;0.012;33900;9.56;5525;3564;614;3.7;3.345;19.01;8.23;0.028;158500;0
426;684;8115.233;962;1310.77;153601;4.593;0.378;0.653;0.063;0.002;0.012;34300;9.55;6528;3425;0;3.8;3.492;20.38;7.48;0.031;158600;0
427;684;8024.546;948;1275.192;151501;4.389;0.503;0.631;0.06;0.003;0.015;34800;9.54;5518;3444;0;3.3;2.863;15.82;9.5;0.029;156500;0
428;684;8407.083;977;1339.682;157000;4.642;0.502;0.731;0.064;0.002;0.019;33600;9.57;5530;3699;0;3.6;3.235;19.49;8.02;0.037;157000;0
429;684;8274.531;964;1335.766;148800;4.315;0.46;0.503;0.046;0.004;0.013;40800;9.56;5520;3286;0;3.6;3.222;18.89;7.58;0.032;149900;0
430;684;8193.221;956;1321.334;150800;4.491;0.453;0.814;0.063;0.002;0.019;37500;9.55;5518;3713;0;3.4;3.06;18.62;7.89;0.036;151700;0
431;684;8214.074;991;1304.719;148500;4.409;0.696;0.925;0.067;0.002;0.028;41900;9.56;5531;4099;0;4;3.673;19.72;7.76;0.035;149300;0
432;684;8183.601;1114;1300.177;148800;4.56;0.5;0.39;0.044;0.002;0.012;40400;9.55;5520;3415;0;3.9;3.53;18.79;7.91;0.025;149800;0
433;684;8117.951;1000;1248.247;144101;4.374;0.628;0.716;0.061;0.002;0.025;42000;9.53;5517;3705;0;0;0;0;0;0.035;149100;0
434;684;8152.058;1009;1298.902;147500;4.518;0.601;0.692;0.059;0.003;0.024;39800;9.54;5520;3811;0;4;3.649;16.41;8.97;0.029;150000;0
435;684;7918.34;975;1287.289;148200;4.182;0.672;0.371;0.044;0.002;0.018;40600;9.55;6025;3534;0;3.8;3.42;19.47;7.83;0.022;150600;0
436;684;8122.765;988;1294.69;146600;4.415;0.926;0.384;0.046;0.002;0.026;43100;9.56;7699;4584;0;3.5;3.161;15.98;8.73;0.023;146600;0
437;598;8217.153;978;1319.227;151100;4.498;0.457;0.784;0.061;0.002;0.02;38600;9.56;5524;3707;0;3.7;3.373;19.94;7.81;0.031;152100;555.2
438;598;8038.11;992;1265.334;149200;4.226;0.619;0.383;0.046;0.003;0.017;38500;9.55;5509;3431;0;3.9;3.445;19.05;8.37;0.02;152000;0
439;598;8493.893;1039;1300.58;156800;4.625;0.342;0.857;0.068;0.002;0.014;33000;9.56;5518;3199;0;4.1;3.628;20.13;8.25;0.031;158400;0
440;598;8277.392;990;1361.493;154801;4.6;0.4;0.8;0.06;0.003;0.02;37300;9.58;5521;3175;557;3.7;3.253;16.79;9.21;0.041;155800;432.119
441;598;8324.751;1032;1353.685;154900;4.648;0.424;0.783;0.071;0.003;0.017;35500;9.57;6286;3195;1131;4;3.335;18.87;10.35;0.04;158300;0
442;598;8258.141;1028;1307.626;153400;4.464;0.497;0.341;0.042;0.002;0.016;36700;9.57;5512;2829;616;4;3.625;16.59;9.2;0.018;156000;0
443;591;8054.671;971;1338.865;158600;4.631;0.282;0.508;0.056;0.011;0.01;20000;9.48;4515;2837;0;3.5;3.171;18.08;7.98;0.031;159900;0
444;683;7803.866;933;1320.924;152300;4.539;0.256;0.538;0.06;0.002;0.009;25100;9.53;5518;2848;0;2.8;2.242;13.49;12.11;0.028;156200;0
445;9;8289.719;1021;1278.513;148500;4.394;0.554;0.355;0.046;0.002;0.016;38800;9.54;5517;2793;0;3.4;2.943;16.58;9.64;0.019;152700;0
446;600;7990.391;931;1292.984;160100;4.387;0.25;0.484;0.061;0.002;0.008;25400;9.54;5518;2761;0;4.1;3.752;16.27;8.29;0.029;161200;0
447;600;2745.127;366;1545.061;20200;0.559997;0.029416;1.411783;0.026387;0.004671;0.013232;0;9.55;7194;4912;0;3.6;3.186;16.52;9.44;0.016;153100;0
448;600;2851.532;370;1517.812;30000;0.780011;0.052641;1.354402;0.0235;0.013804;0.014533;0;9.54;5534;3712;0;6.7;6.065;17.74;8.85;0.015;150000;0
449;600;8052.898;953;1302.177;155000;4.397;0.336;0.497;0.065;0.002;0.01;33400;9.56;5526;2785;0;5.8;5.5;20.44;7.96;0.019;155999;0
450;600;8006.945;935;1291.773;145400;4.444;0.508;0.323;0.051;0.002;0.014;37900;9.52;5522;2747;0;4.7;4.342;17.65;8.63;0.022;150000;0
451;599;8107.679;948;1299.109;156300;4.31;0.287;0.421;0.06;0.003;0.009;30300;9.55;5515;2752;0;5.1;4.878;18.79;8.08;0.029;159300;0
452;599;8079.896;994;1336.039;145300;4.537;0.681;0.381;0.053;0.003;0.02;42300;9.55;6019;3006;0;3.2;2.841;17.56;8.01;0.029;147100;0
453;647;8197.377;956;1322.402;156600;4.371;0.254;0.421;0.065;0.004;0.007;29900;9.54;4519;2682;0;4.7;4.416;17.76;8.36;0.025;157100;0
454;647;8151.323;993;1357.189;145200;4.636;0.695;0.371;0.053;0.002;0.023;43600;9.55;5122;3006;0;4.3;4.053;18.41;7.89;0.025;147200;0
455;647;8116.147;997;1339.365;143200;4.58;1.06;0.645;0.073;0.003;0.036;44000;9.54;7606;4410;1513;4.5;4.075;16.83;9.34;0.033;145100;0
456;647;8202.051;974;1346.882;145500;4.649;0.671;0.4;0.057;0.003;0.024;43200;9.55;4664;3089;0;4.7;4.376;18.02;8.55;0.028;146000;0
457;647;8115.427;1004;1318.551;146000;4.537;0.663;0.434;0.052;0.002;0.022;43300;9.55;4526;2929;0;4.4;4.021;19.96;8.18;0.03;147000;0
458;683;8412.714;986;1349.939;156700;4.584;0.377;0.62;0.068;0.004;0.017;34300;9.62;5520;2836;0;4.3;3.963;17.46;8.89;0.034;157900;343.832
459;683;8056.902;963;1343.77;147400;4.454;0.752;0.503;0.059;0.003;0.026;45200;9.62;6914;3422;868;4.3;3.867;17.81;9.26;0.029;147500;0
460;683;8461.648;989;1333.512;151900;4.596;0.304;0.535;0.061;0.003;0.016;40200;9.62;5519;2764;549;4;3.56;17.62;9.02;0.027;152400;0
461;591;8328.142;994;1377.6;145500;4.581;0.625;0.542;0.057;0.011;0.032;47700;9.61;4525;3101;0;4;3.583;16.96;9.84;0.046;146500;0
462;591;8315.685;1000;1348.896;147000;4.57;0.377;0.431;0.052;0.011;0.017;42300;9.59;4520;2762;0;3.9;3.395;18.37;9.56;0.044;148000;0
463;591;8394.071;985;1337.389;149800;4.449;0.27;0.422;0.053;0.012;0.013;40900;9.6;4520;2674;0;4.1;3.681;18.83;9.3;0.038;150300;0
464;698;8389.762;1001;1320.607;144800;4.61;0.269;0.411;0.052;0.008;0.013;39800;9.57;4521;2632;0;4.3;3.812;18.67;9.7;0.034;150300;0
465;694;8336.211;989;1369.822;149300;4.54;0.43;0.44;0.055;0.007;0.02;42100;9.56;4520;2844;0;3.8;3.373;18.86;8.87;0.032;150100;0
466;694;8386.544;1001;1345.502;147000;4.571;0.439;0.442;0.054;0.007;0.02;42800;9.6;4520;2828;0;3.8;3.428;17.09;9.27;0.029;148200;0
467;694;8297.009;984;1352.508;147800;4.606;0.419;0.376;0.048;0.007;0.016;42800;9.61;4518;2768;0;3.9;3.601;17.12;8.51;0.02;148000;0
468;697;8318.468;982;1337.949;147700;4.589;0.415;0.374;0.047;0.002;0.016;42300;9.61;4521;2930;0;3.8;3.379;16.67;9.27;0.017;148400;293.346
469;195;8473.016;1021;1259.403;142500;4.037;1.22;0.622;0.057;0.002;0.038;46100;9.6;8375;5050;0;3.8;3.386;16.76;9.1;0.018;144200;0
470;195;8450.951;1023;1254.032;140400;3.993;1.223;0.623;0.057;0.002;0.038;48900;9.6;8382;4976;0;3.8;3.351;18.45;8.51;0.017;142700;0
471;195;8310.024;985;1330.198;149500;4.62;0.595;0.377;0.051;0.003;0.023;41600;9.62;4520;3075;0;4;3.56;20.04;8.58;0.03;150200;0
472;195;8221.055;957;1329.274;149300;4.469;0.389;0.338;0.048;0.003;0.014;40000;9.6;4511;2766;0;3.4;2.962;18.07;9.84;0.017;152100;505.153
473;697;8485.197;997;1302.542;149600;4.523;0.313;0.35;0.049;0.002;0.012;39800;9.61;4513;2716;0;3.3;2.889;17.55;9.47;0.024;152000;0
474;697;8469.402;990;1303.721;145000;4.556;0.585;0.37;0.052;0.002;0.021;43200;9.59;4521;3077;0;3.3;2.879;17.62;9.6;0.019;147200;0
475;195;8283.255;964;1236.195;154900;4.192;0.402;0.321;0.049;0.002;0.012;33400;9.6;4519;2730;0;3.2;2.822;17.1;9.19;0.015;157300;407.837
476;693;8336.199;969;1296.096;150800;4.242;0.498;0.447;0.056;0.002;0.02;38300;9.6;4519;3189;0;3.6;3.134;18.52;9.17;0.023;152100;0
477;875;8551.287;1026;1319.317;151500;4.365;0.781;0.451;0.052;0.002;0.027;35200;9.6;8676;3303;490;3.5;3.001;17.83;9.53;0.022;153300;0
478;875;8368.135;978;1321.647;150800;4.384;0.625;0.358;0.047;0.003;0.02;35000;9.59;6114;2929;546;3.5;3.092;18.54;9.2;0.027;152200;0
479;875;8448.299;1004;1351.382;150500;4.61;0.624;0.386;0.049;0.003;0.023;34700;9.59;6615;2977;611;3.5;3.136;17.24;8.41;0.033;152600;0
480;875;8411.323;985;1337.019;152100;4.501;0.336;0.348;0.049;0.003;0.012;33000;9.58;6625;2708;543;3.7;3.3;18.57;9.2;0.034;154300;0
481;875;8378.149;980;1315.871;150100;4.465;0.532;0.351;0.048;0.003;0.017;35100;9.58;6631;2791;511;3.8;3.24;17.71;10.14;0.018;152100;0
482;704;8504.396;997;1300.272;154600;4.274;0.409;0.351;0.05;0.003;0.012;36000;9.62;5526;2624;0;3.6;3.162;17.82;8.63;0.019;156200;0
483;704;8327.013;1003;1249.948;149200;4.298;0.654;0.436;0.051;0.003;0.019;40000;9.61;5755;3024;0;3.6;3.234;18.48;8.65;0.025;152600;0
484;704;8018.267;937;1280.441;156300;4.27;0.225;0.312;0.051;0.003;0.007;30200;9.59;5528;0;0;3.4;2.994;17.54;8.73;0.021;157400;0
485;698;8248.971;985;1324.929;150600;4.365;0.453;0.331;0.051;0.011;0.013;40000;9.6;4521;2764;0;3.5;3.087;18.36;8.9;0.02;152600;0
486;694;8243.27;968;1296.436;158400;4.239;0.301;0.352;0.055;0.007;0.009;29900;9.59;4521;2675;0;3.5;3.085;17.77;8.96;0.023;160300;0
487;694;8301.921;990;1288.94;150300;4.244;0.57;0.43;0.058;0.008;0.019;40300;9.6;4525;2952;0;4.2;3.845;20.94;8.71;0.028;150200;0
488;694;8154.824;994;1300.512;145400;4.339;0.693;0.438;0.057;0.007;0.023;42200;9.58;4976;3212;0;3.7;3.246;18.08;9.23;0.028;148000;0
489;694;8179.523;992;1335.804;142000;4.453;0.97;0.494;0.059;0.007;0.035;48100;9.6;6919;4191;0;3.6;3.225;18.99;8.69;0.034;142300;0
490;694;8180.521;980;1335.95;149401;4.548;0.52;0.411;0.053;0.007;0.017;40400;9.6;4527;2966;0;4.3;3.927;19.87;9.11;0.033;150400;0
491;694;8237.594;988;1318.521;147600;4.374;0.613;0.517;0.058;0.006;0.02;42400;9.6;4530;3006;0;3.5;3.099;17.82;8.47;0.024;148200;0
492;673;7969.335;970;1301.442;154300;4.406;0.436;0.437;0.064;0.004;0.014;36000;9.61;4522;2820;714;3.5;3.201;14.22;9.46;0.022;155800;0
493;673;8213.296;1018;1342.996;145400;4.58;0.914;0.485;0.062;0.005;0.03;45200;9.61;6403;3914;592;3.1;2.792;14.89;8.8;0.028;147100;397.282
494;698;8503.972;1038;1285.223;145400;4.168;0.913;0.512;0.063;0.013;0.028;45400;9.59;7124;4153;0;3.2;2.86;14.82;8.74;0.026;147300;0
495;698;8391.275;1027;1286.354;144000;4.217;0.702;0.451;0.056;0.014;0.026;45300;9.58;5380;3366;0;3.2;2.824;15.53;8.65;0.022;147000;0
496;698;8339.062;981;1313.025;156000;4.219;0.472;0.452;0.061;0.049;0.014;36200;9.6;4522;2941;0;3.2;2.812;16.3;8.63;0.029;156000;0
497;130;8283.517;994;1281.172;143400;4.162;0.635;0.518;0.062;0.002;0.018;42400;9.55;5904;3048;0;3.2;2.813;15.23;8.68;0.018;144800;0
498;130;8220.739;998;1260.539;145300;4.184;0.758;0.458;0.059;0.002;0.02;38300;9.57;6561;3318;0;3.1;2.768;14.94;8.44;0.021;149400;495.697
499;130;8123.974;972;1298.485;148000;4.113;0.749;0.459;0.058;0.002;0.02;38200;9.59;6722;3362;0;3.2;2.814;18.26;8.45;0.021;150000;0
500;130;8435.434;1011;1296.805;145400;4.223;0.779;0.49;0.057;0.002;0.023;42500;9.6;6998;3471;0;0;0;0;0;0.019;147400;0
501;130;8176.759;978;1301.493;145600;4.22;0.783;0.489;0.058;0.002;0.023;41800;9.6;6402;4259;0;3.1;2.773;15.98;8.67;0.02;147300;0
502;130;7989.865;949;1302.786;158000;4.289;0.405;0.47;0.06;0.002;0.013;28000;9.59;6232;2968;0;3.4;3.006;15.88;8.67;0.021;160100;439.777
503;580;8360.938;971;1289.66;159000;4.283;0.405;0.47;0.061;0.002;0.013;28600;9.6;4532;2832;0;3.3;2.912;16.54;8.71;0.029;160200;0
504;580;8122.111;968;1304.096;147600;4.553;0.707;0.441;0.054;0.003;0.022;43300;9.61;5044;3346;0;3.6;3.179;17.81;9.1;0.023;149400;0
505;580;8234.751;989;1304.128;149200;4.584;0.722;0.447;0.055;0.002;0.022;43100;9.62;5603;3294;0;3.6;3.247;17.68;8.44;0.018;149300;0
506;580;8326.106;988;1312.434;147500;4.604;0.522;0.58;0.064;0.004;0.018;44700;9.62;4527;3011;0;3.8;3.405;17.6;8.79;0.024;148100;0
507;580;8304.343;1016;1326.28;147300;4.5;0.6;0.4;0.06;0.002;0.02;45800;9.62;4530;2942;0;3.3;2.925;16.42;8.62;0.025;147900;0
508;240;8114.555;952;1301.405;147600;4.359;0.509;0.485;0.059;0.004;0.016;44100;9.61;4524;3193;0;3.5;3.04;18.48;9.43;0.017;148200;545.336
509;694;8355.132;1029;1318.582;147000;4.556;0.615;0.521;0.063;0.008;0.023;42800;9.59;5263;3039;511;3.4;2.98;18.4;9.17;0.038;150200;0
510;694;8348.061;1015;1300.413;145500;4.395;0.763;0.533;0.062;0.008;0.028;45700;9.6;5689;3509;527;3.5;3.044;18.47;9.61;0.043;147400;0
511;694;8344.444;999;1323.538;149100;4.642;0.424;0.477;0.059;0.007;0.014;41700;9.6;4520;2824;478;3.6;3.186;18.35;8.57;0.034;150300;0
512;694;8109.683;985;1367.234;143900;4.609;0.721;0.603;0.059;0.008;0.024;46700;9.5;5297;3485;534;3.5;3.015;18.45;9.59;0.031;145300;0
513;694;8240.377;989;1356.203;143500;4.644;0.727;0.57;0.063;0.007;0.029;47900;9.52;5308;3476;524;3.6;3.17;18.16;9.05;0.033;145700;0
514;694;8070.866;975;1378.387;147600;4.62;0.548;0.521;0.056;0.008;0.036;43400;9.51;5073;3067;559;3.5;3.084;17.97;9.39;0.028;149300;0
515;589;8326.118;1019;1340.577;144800;4.567;0.679;0.503;0.059;0.012;0.032;44800;9.5;5811;3854;0;3.4;2.95;18.32;9.48;0.026;147200;0
516;475;8798.939;1075;1369.13;148400;4.628;0.349;0.448;0.051;0.019;0.023;43000;9.59;4521;3360;0;0;0;0;0;0.024;149200;0
517;475;8327.68;1002;1257.647;148500;4.471;0.356;0.395;0.055;0.018;0.013;39700;9.57;4520;3282;0;4.5;3.824;20.44;10.86;0.018;150000;746.398
518;593;8001.889;940;1325.804;146800;4.373;0.501;0.493;0.05;0.002;0.018;40900;9.6;6608;2836;0;3.5;3.079;18.82;9.68;0.022;149100;944.558
519;593;8205.815;957;1349.549;153500;4.609;0.358;0.428;0.049;0.002;0.015;37700;9.62;5514;2764;550;4.1;3.636;18.18;9.67;0.029;154100;499.913
520;593;8306.115;973;1317.445;148400;4.395;0.444;0.504;0.052;0.003;0.017;40600;9.61;5515;2835;533;3.8;3.4;17.21;9.08;0.019;150000;0
521;594;8305.526;991;1350.73;147600;4.569;0.384;0.361;0.044;0.002;0.024;40100;9.6;5516;2687;657;3.9;3.524;17.37;9.64;0.025;150400;0
522;594;8347.774;1037;1302.511;150900;4.431;0.442;0.485;0.056;0.004;0.03;37600;9.6;5517;2824;0;4;3.589;18.42;9.47;0.026;152600;501.786
523;594;8332.43;969;1318.159;153700;4.279;0.337;0.463;0.05;0.003;0.014;34600;9.61;5518;2644;564;3.9;3.55;16.64;9.45;0.032;158500;0
524;595;8433.601;997;1298.384;143100;4.36;1.005;0.568;0.057;0.002;0.037;46500;9.61;7687;4024;0;4.2;3.875;16.88;8.54;0.025;146200;0
525;896;8416.287;998;1318.321;150100;4.48;0.547;0.475;0.054;0.003;0.024;40800;9.62;5513;2951;0;3.9;3.517;17.97;8.74;0.023;153000;0
526;896;8211.245;995;1315.419;161700;4.6;0.282;0.385;0.055;0.003;0.015;25200;9.6;5514;2875;756;4.2;3.86;18.4;9.43;0.021;165000;0
527;596;8086.151;948;1351.051;156400;4.506;0.316;0.441;0.055;0.003;0.012;31700;9.61;5517;2807;0;4.4;3.978;18.53;9.84;0.018;159100;0
528;596;8018.062;943;1333.789;151900;4.414;0.23;0.384;0.054;0.003;0.012;36000;9.6;5524;2672;0;4.6;4.136;18.6;9.92;0.015;153300;0
529;684;8108.536;946;1352.891;149400;4.4;0.5;0.4;0.06;0.002;0.02;40000;9.6;5523;2846;0;4.7;4.298;19.06;9.66;0.016;152000;0
530;202;8288.098;983;1339.507;148100;4.626;0.403;0.502;0.056;0.002;0.017;42800;9.61;4526;2965;0;4.2;3.807;19.69;8.77;0.019;150300;348.916
531;684;8097.592;992;1314.467;150400;4.339;0.327;0.366;0.058;0.002;0.014;40300;9.61;5522;2655;0;4;3.674;18.16;9.08;0.021;152200;0
532;684;8046.594;959;1305.41;149200;4.268;0.601;0.449;0.054;0.002;0.021;41900;9.61;5520;2938;0;4.2;3.847;19.45;8.96;0.037;150200;0
533;684;8165.313;988;1355.996;144700;4.631;0.589;0.453;0.059;0.002;0.019;45300;9.6;5517;3035;0;4.3;3.883;18.27;9.52;0.024;147200;0
534;684;7616.468;954;1370.006;145200;4.4;0.6;0.4;0.06;0.003;0.02;44800;9.61;5520;2824;0;4.1;3.775;18.36;9.2;0.033;147300;0
535;684;7814.928;929;1336.062;144000;4.371;0.469;0.418;0.059;0.003;0.018;44800;9.6;5521;2729;0;3.9;3.551;19.09;8.68;0.035;145100;0
536;684;7937.474;960;1366.09;145900;4.618;0.595;0.437;0.055;0.002;0.017;45700;9.62;5518;2901;0;3.9;3.494;19.36;9.14;0.041;147100;0
537;684;8201.67;990;1355.07;148600;4.583;0.672;0.418;0.056;0.002;0.022;43000;9.62;5526;3128;1472;3.4;3.05;15.58;9.01;0.024;149600;0
538;684;8201;968;1318.608;144800;4.458;0.568;0.402;0.057;0.003;0.017;42900;9.59;5519;2816;1085;3.6;3.237;15.89;8.96;0.032;147100;0
539;684;8202.803;982;1334.16;140900;4.57;0.575;0.482;0.049;0.002;0.015;45900;9.58;5522;2908;1442;3.8;3.436;19.49;8.53;0.019;144200;0
540;684;8115.889;976;1351.39;141000;4.616;0.72;0.405;0.053;0.004;0.022;46000;9.59;5638;3087;0;3.5;3.105;19.37;8.58;0.019;144600;0
541;684;8206.013;969;1343.57;146801;4.516;0.696;0.343;0.052;0.003;0.021;40800;9.59;5608;3095;374;4;3.523;18.66;9.16;0.028;151800;0
542;684;8308.472;985;1368.045;146300;4.618;0.802;0.373;0.049;0.003;0.025;42200;9.6;6242;3424;1464;3.7;3.312;19.29;8.44;0.028;148400;0
543;592;8333.358;997;1370.501;143000;4.574;0.648;0.299;0.045;0.014;0.019;45900;9.57;5171;3235;1458;3.7;3.374;19.17;8.38;0.018;144000;0
544;684;7929.523;929;1332.158;145200;4.38;0.444;0.246;0.043;0.003;0.014;45800;9.51;5522;2652;0;3.8;3.392;18.57;8.69;0.019;147100;544.375
545;400;8209.223;970;1272.053;144900;4.263;0.688;0.387;0.057;0.002;0.021;38200;9.47;5730;3115;0;3.8;3.354;17.83;9.09;0.016;147000;392.841
546;400;7945.804;949;1357.767;150500;4.497;0.562;0.321;0.043;0.002;0.019;35000;9.49;5524;2972;0;3.8;3.444;17.81;9.01;0.016;151900;489.859
547;400;8227.038;961;1329.25;146100;4.579;0.73;0.328;0.045;0.002;0.027;40400;9.49;5709;3132;0;0;0;0;0;0.017;147700;0
548;400;8035.885;956;1310.656;145800;4.367;0.669;0.326;0.048;0.002;0.022;42800;9.5;5530;2971;0;3.5;3.064;17.32;8.92;0.017;147000;0
549;400;8144.49;955;1328.963;150700;4.099;0.583;0.332;0.044;0.002;0.019;35000;9.49;5523;2898;762;3.5;3.138;18.32;8.7;0.022;153100;374.835
550;400;7997.432;944;1314.966;150000;4.447;0.497;0.331;0.047;0.002;0.016;35000;9.48;5519;2817;0;3.6;3.125;16.86;9.78;0.017;152200;0
551;683;8306.679;991;1322.193;151500;4.623;0.584;0.342;0.042;0.003;0.019;40100;9.52;5516;2887;0;3.5;3.091;18.27;9.06;0.024;152300;0
552;683;8206.189;961;1326.994;151400;4.534;0.493;0.413;0.05;0.003;0.023;40000;9.52;5518;2923;0;3.3;2.94;17.85;8.49;0.02;152200;0
553;683;8156.766;960;1331.754;157100;4.497;0.397;0.321;0.043;0.002;0.014;33900;9.52;5520;2788;647;3.8;3.313;19.04;9.53;0.013;158000;0
554;591;8427.475;1029;1353.306;149100;4.585;0.592;0.38;0.049;0.012;0.02;40000;9.48;2645;3036;0;3.7;3.238;18.61;8.97;0.026;152000;0
555;683;8186.238;973;1346.139;148400;4.572;0.672;0.439;0.053;0.003;0.022;41900;9.51;5723;3211;689;3.8;3.278;19.19;9.95;0.017;150000;0
556;591;8328.336;1013;1380.328;152000;4.529;0.59;0.465;0.051;0.013;0.021;38600;9.49;4530;3136;643;0;0;0;0;0.029;154100;0
557;591;8195.236;978;1322.914;148100;4.203;0.461;0.344;0.047;0.014;0.014;43200;9.49;4520;2822;1207;3.6;3.096;17.41;9.9;0.016;149300;0
558;591;8570.531;1016;1365.488;148200;4.531;0.606;0.459;0.049;0.013;0.023;43300;9.49;4629;3075;0;3.4;3.013;17.7;8.65;0.028;149000;0
559;591;8158.109;959;1282.13;148000;4.269;0.581;0.489;0.055;0.011;0.032;42700;9.49;4528;3071;0;3.8;3.303;19.34;9.07;0.018;150200;296.129
560;684;8205.294;968;1371.392;147600;4.587;0.583;0.407;0.048;0.002;0.021;41600;9.5;5523;2962;0;3.6;3.129;18.38;9.29;0.027;148400;0
561;684;8289.76;1009;1334.819;143800;4.63;0.71;0.39;0.049;0.003;0.023;44000;9.49;5631;3033;0;3.5;3.166;18.11;8.38;0.021;148300;0
562;684;8204.458;973;1360.549;148000;4.614;0.51;0.393;0.046;0.002;0.016;43700;9.52;5522;2957;0;0;0;0;0;0.017;148100;0
563;684;8036.644;954;1310.581;150000;4.453;0.492;0.436;0.053;0.033;0.027;40500;9.51;5523;2923;0;0;0;0;0;0.023;150000;0
564;684;7878.645;926;1337.411;148300;4.458;0.381;0.331;0.048;0;0.012;39900;9.49;5523;2737;0;3.4;3.105;18.12;7.81;0.025;150100;0
565;684;8187.618;964;1328.089;150600;4.406;0.275;0.508;0.058;0.002;0.012;39800;9.51;5522;2804;0;3.5;3.098;15.13;9.66;0.028;152400;0
566;684;7827.768;922;1336.265;147300;4.198;0.36;0.399;0.048;0.002;0.01;39500;9.49;5519;2731;0;3.6;3.278;16.16;8.26;0.017;150200;0
567;684;8167.034;978;1333.013;146000;4.568;0.703;0.508;0.056;0.003;0.024;41900;9.49;5531;3197;3149;3.3;2.976;14.85;8.56;0.023;148200;0
568;684;8102.826;982;1345.093;145600;4.509;0.492;0.469;0.058;0.002;0.019;42900;9.5;5528;2950;0;3.7;3.476;16.52;7.5;0.022;146800;0
569;684;8314.215;991;1318.818;149700;4.501;0.414;0.412;0.051;0.003;0.013;39700;9.5;5523;2831;1123;3.9;3.49;17.2;8.95;0.015;151300;0
570;684;8251.261;977;1357.302;143400;4.61;1;0.57;0.06;0.003;0.039;43300;9.48;7506;4208;2568;3.6;3.284;15.94;8.1;0.025;147200;0
571;684;8304.062;997;1370.837;148201;4.613;0.578;0.423;0.05;0.003;0.018;43100;9.51;5519;3013;799;3.6;3.284;16.19;8.25;0.025;149200;0
572;684;8082.773;972;1365.765;145200;4.6;0.721;0.498;0.059;0.003;0.025;42900;9.49;5542;4161;1835;3.6;3.229;15.89;8.53;0.023;146000;0
573;684;8201.767;991;1352.158;146000;4.468;0.697;0.499;0.059;0.002;0.025;43000;9.5;5594;3235;553;3.6;3.269;16.31;8.65;0.018;147700;0
574;694;8608.071;1034;1366.096;149501;4.34;0.57;0.45;0.055;0.008;0.018;40500;9.49;4537;4086;0;3.7;3.394;16.6;8.47;0.021;150500;391.126
575;589;8464.931;1010;1273.431;149000;4.399;0.567;0.454;0.055;0.014;0.018;40900;9.48;4524;3092;0;0;0;0;0;0.015;150100;0
576;589;8363.066;1001;1353.511;147700;4.629;0.675;0.457;0.053;0.011;0.021;42800;9.49;4958;3386;0;0;0;0;0;0.02;148800;0
577;589;8658.938;1054;1313.176;148100;4.592;0.76;0.557;0.06;0.01;0.024;43200;9.49;5568;3741;0;3.8;3.351;15.13;9.94;0.022;149000;0
