Tavba Ë.;Sur. Fe - Akosù;02 - Skut. mnoû. (Nm3);02 - Trv. f˙k. (s);Sur. Fe - Teplota (∞C);Sur. Fe - Hmotnosù (kg);C - Konc. v Fe (%);Si - Konc. v sur. Fe (%);Mn - Konc. v sur. Fe (%);P - Konc. v sur. Fe (%);S - Konc. v sur. Fe (%);Ti - Konc. v sur. Fe (%);ärot v·ha (kg);V˝öka k˙peæa (m);CaO - V·ha (kg);Dol. v·p. - V·ha (kg);MgCO3 - V·ha (kg);Bazicita tav.;Pomer CaO / SiO2;Fe - Mn. v troske (% hm.);MgO - Mn. v troske (% hm.);Cr - Mn. v oceli (%);Fe - V·ha v sur. Fe (kg);02 - Dofuk mn. (Nm3)
57;594;8161.925;979;1317.299;148401;4.49;0.718;0.323;0.047;0.002;0.019;39000;9.53;5923;3481;550;3.6;3.213;17.26;8.68;0.017;149400;0
58;593;8215.534;990;1336.743;146701;4.475;0.78;0.318;0.044;0.002;0.023;40500;9.53;6070;3539;565;3.5;3.088;18.74;8.45;0.021;147700;0
59;593;8149.256;1009;1296.867;149800;4.099;1.271;0.492;0.056;0.003;0.034;39500;9.55;10365;5492;287;3.6;3.119;18.12;8.59;0.017;160000;0
60;561;8399.681;1033;1243.363;145400;4.497;0.675;0.293;0.042;0.004;0.019;38700;9.5;4797;3195;0;3.7;3.043;19.97;9.68;0.016;150000;0
61;561;8441.082;1045;1333.378;151000;4.589;0.451;0.287;0.046;0.003;0.014;37100;9.52;4525;3029;0;3.6;3.044;18.67;9.13;0.02;152100;0
62;561;8248.188;1006;1312.25;143200;4.458;0.946;0.443;0.05;0.004;0.026;44000;9.52;6512;4273;379;3.9;3.305;19.87;10.01;0.032;146100;0
63;698;8203.378;988;1308.157;147700;4.583;0.56;0.343;0.047;0.003;0.018;40100;9.53;4525;3130;504;3.9;3.174;19.09;11.67;0.023;149900;0
64;698;8468.991;1043;1306.596;144500;4.325;0.975;0.435;0.049;0.003;0.027;44500;9.52;7100;4539;456;3.5;2.977;18.08;9.44;0.022;146100;0
65;589;8092.306;990;1339.333;151400;4.493;0.468;0.281;0.041;0.004;0.014;39600;9.53;4527;3184;0;3.8;3.22;19.09;10.49;0.018;152000;0
66;589;8202.391;995;1363.908;146101;4.61;0.57;0.37;0.052;0.0013;0.0017;45500;9.5;4523;3430;0;3.5;3.056;18.53;8.74;0.026;147100;0
